TILE_ID,NUMBER,ra,dec,CLASS_STAR,uJAVA,J0378,J0395,J0410,J0430,gSDSS,J0515,rSDSS,J0660,iSDSS,J0861,zSDSS,parallax,e_parallax,teff_pre,logg_pre,feh_pre,e_teff_pre,e_logg_pre,e_feh_pre
88000,18750,149.4395497,34.69319004,0.827,17.4212399,17.1432533,17.0768776,16.5891457,16.4898014,16.1486988,16.0176277,15.7527609,15.7169123,15.6553288,15.6441593,15.6491814,0.5233,0.0381,5657.9756,4.0765142,-0.33018073,199.38333,0.22935843,0.13541621
88000,18769,148.9677897,34.69194921,0.837,17.1389465,17.067955,16.7461491,15.6803246,15.4082537,14.5945215,14.5775709,13.5662088,13.4041996,13.1889505,13.056056,13.0098991,4.8163,0.0213,4382.1597,4.3367186,-0.053450298,86.17185,0.08607479,0.10770147
88000,18777,149.5173408,34.69196681,0.999,17.5679817,17.4542751,17.3492146,16.8638821,16.7769966,16.0665092,15.9133101,15.036561,14.6531172,13.9291258,13.5282469,13.4014463,6.0906,0.2237,4381.502,4.1982226,-0.4560351,134.87952,0.22358614,0.25860757
88000,18782,150.0718723,34.69229316,0.995,15.7650356,15.6880264,15.3211832,14.6067867,14.4082117,13.8831491,13.7441406,13.2712402,13.2047606,13.1187401,13.0817623,13.0588245,2.415,0.0183,5170.6807,4.405413,0.20524116,100.63936,0.050537113,0.09736143
88000,18817,150.1133357,34.68049424,0.999,15.7549133,15.6633148,15.424139,14.6790323,14.5503941,14.0391121,13.9029903,13.4732418,13.4090385,13.3148432,13.2817287,13.2519016,2.379,0.0201,5196.7334,4.3662205,-0.027753128,128.46959,0.11324945,0.11366329
88000,18832,150.0694535,34.68585625,0.989,17.6197472,17.5341339,17.3762074,16.6561241,16.5409546,16.0844307,15.9610605,15.5670462,15.5116339,15.4239855,15.3957844,15.3805656,0.7255,0.0425,5197.5005,4.292893,-0.20177859,164.1424,0.2058783,0.14807358
88000,18960,149.1060234,34.67618036,0.945,15.1498337,14.975193,14.8468285,14.1935616,14.1156301,13.7015381,13.5691595,13.240962,13.194767,13.1265526,13.1119919,13.0978632,2.0535,0.0178,5550.1646,4.3683014,-0.046096995,102.272606,0.07184049,0.118957676
88000,18985,148.6908895,34.67384675,0.858,16.2988091,16.0051956,15.9420214,15.5118752,15.4715834,15.2125883,15.1147528,14.9296627,14.9054317,14.8613272,14.8706818,14.8731003,0.694,0.0295,5982.615,4.2722683,-0.45292032,184.15244,0.18729359,0.22413306
88000,19008,149.963102,34.67126654,0.895,15.5209799,15.2853537,15.2281866,14.6614094,14.5936184,14.2312546,14.1037216,13.8184147,13.77917,13.6961412,13.6776905,13.6643963,-1.618,0.7189,5709.6143,4.2737846,-0.26217917,179.85448,0.15420353,0.15905426
88000,19042,149.6944112,34.68471931,0.799,16.5317078,16.4000988,16.2170677,15.5577154,15.4801655,15.0601692,14.9274426,14.5881729,14.5454845,14.4686184,14.449337,14.4279108,1.1528,0.0266,5565.5903,4.3078485,0.042416967,98.34386,0.096361265,0.10911427
88000,19069,148.6200756,34.6689802,0.809,17.5671654,17.4206142,17.3560143,16.9381046,16.891901,16.5639534,16.4364853,16.1108761,16.0432987,15.9438286,15.8769798,15.8672523,0.8501,0.0487,5071.979,4.1013417,-0.61887723,288.2268,0.2800242,0.30810186
